jurisdiction,body_type,body_name,verticals_covered,address,phone,website,facebook,twitter_x,linkedin,youtube,other_social,leadership_title,leadership_name,leadership_email,general_email,source_urls,retrieval_date,notes
Oklahoma,Tribal Gaming Commission,Miami Tribe of Oklahoma — Tribal Gaming Commission,Tribal Class II & III,"P.O. Box 1326 3410 P St. NW, Miami OK 74355",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,dlankford@miamination.com,dlankford@miamination.com,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Oklahoma,Tribal Gaming Commission,"Modoc Nation of Oklahoma 22 N. Eight Tribes Trail, Miami OK 54354 — Tribal Gaming Commission",Tribal Class II & III,,not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,robert.burkybile@modocnation.com,robert.burkybile@modocnation.com,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Oklahoma,Tribal Gaming Commission,"Muscogee (Creek) Nation, Oklahoma — Tribal Gaming Commission",Tribal Class II & III,"P.O. Box 580, Okmulgee OK 74447",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,dhill@mcn-nsn.gov,dhill@mcn-nsn.gov,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Oklahoma,Tribal Gaming Commission,"Otoe-Missouria Tribe of Indians, Oklahoma — Tribal Gaming Commission",Tribal Class II & III,"8151 Highway 177, Red Rock OK 74651",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,jshotton@omdevelopment.org,jshotton@omdevelopment.org,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Oklahoma,Tribal Gaming Commission,Ottawa Tribe of Oklahoma 13 S. 69A — Tribal Gaming Commission,Tribal Class II & III,"P.O. Box 110, Miami OK 74355",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,cethel.oto@gmail.com,cethel.oto@gmail.com,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Oklahoma,Tribal Gaming Commission,Pawnee Nation of Oklahoma — Tribal Gaming Commission,Tribal Class II & III,"P.O. Box 470 881 Little Deer Drive, Pawnee OK",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,mnuttle@pawneenation.org,mnuttle@pawneenation.org,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Oklahoma,Tribal Gaming Commission,Peoria Tribe of Indians of Oklahoma — Tribal Gaming Commission,Tribal Class II & III,"P.O. Box 1527, Miami OK 74355",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,chiefharper@peoriatribe.com,chiefharper@peoriatribe.com,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Oklahoma,Tribal Gaming Commission,Ponca Tribe of Indians of Oklahoma — Tribal Gaming Commission,Tribal Class II & III,"20 White Eagle Drive, Ponca City OK 74601",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,oliver.littlecook@ponca-nsn.gov,oliver.littlecook@ponca-nsn.gov,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Oklahoma,Tribal Gaming Commission,"Quapaw Tribe of Indians, Oklahoma — Tribal Gaming Commission",Tribal Class II & III,"69300 East Nee Road, Quapaw OK 74363",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,kathryn.supernaw@quapawnation.com,kathryn.supernaw@quapawnation.com,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Oklahoma,Tribal Gaming Commission,"Sac & Fox Nation, Oklahoma — Tribal Gaming Commission",Tribal Class II,"920883 South Highway 99 Building A, Stroud OK",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,chiefprincipalchief@sacandfox.com,chiefprincipalchief@sacandfox.com,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Oklahoma,Tribal Gaming Commission,Seminole Nation of Oklahoma — Tribal Gaming Commission,Tribal Class II & III,"P.O. Box 1498, Wewoka OK 74884",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,chief@sno-nsn.gov,chief@sno-nsn.gov,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Oklahoma,Tribal Gaming Commission,Seneca-Cayuga Nation 23701 S. — Tribal Gaming Commission,Tribal Class II & III,"655 Rd., Grove OK 74344",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,cdiebold@sctribe.com,cdiebold@sctribe.com,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Oklahoma,Tribal Gaming Commission,"Shawnee Tribe, Oklahoma — Tribal Gaming Commission",Tribal Class II & III,"P.O. Box 189, Miami OK 74355",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,chief@shawnee-tribe.com,chief@shawnee-tribe.com,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Oklahoma,Tribal Gaming Commission,The Osage Nation — Tribal Gaming Commission,Tribal Class II & III,"627 Grandview Avenue, Pawhuska OK 74056",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,gstandingbear@osagenation-nsn.gov,gstandingbear@osagenation-nsn.gov,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Oklahoma,Tribal Gaming Commission,"Thlopthlocco Tribal Town, Oklahoma — Tribal Gaming Commission",Tribal Class II,"P.O. Box 188, Okemah OK 74859",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,rmorrow@tttown.org,rmorrow@tttown.org,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Oklahoma,Tribal Gaming Commission,Tonkawa Tribe of Indians of Oklahoma — Tribal Gaming Commission,Tribal Class II & III,"1 Rush Buffalo Rd., Tonkawa OK 74653",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,rmartin@tonkawatribe.com,rmartin@tonkawatribe.com,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Oklahoma,Tribal Gaming Commission,Wichita and Affiliated Tribes — Tribal Gaming Commission,Tribal Class II & III,"P.O. Box 729, Anadarko OK 73005",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,wec@wichitatribe.com,wec@wichitatribe.com,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Oklahoma,Tribal Gaming Commission,"Wyandotte Nation, Oklahoma — Tribal Gaming Commission",Tribal Class II & III,"8 Turtle Drive, Wyandotte OK 74370",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,bfriend@wyandotte-nation.org,bfriend@wyandotte-nation.org,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Oregon,State Charitable Gaming Regulator,Oregon Department of Justice — Charitable Activities Section,Charitable gaming; bingo; raffles; Monte Carlo events,not publicly available,971-673-1880,https://www.doj.state.or.us/charitable-activities/charitable-gaming/,,,,,,,not publicly available,not publicly available,CharitableGaming@doj.oregon.gov,https://www.doj.state.or.us/charitable-activities/charitable-gaming/,2026-05-22,"Oregon DOJ Charitable Activities Section licenses Class A/B/C/D bingo, raffles, and Monte Carlo events. Per official site retrieved 2026-05-22. Added 2026-05-22."
Oregon,State Lottery,Oregon Lottery,Lottery,"500 Airport Road SE, Salem OR 97301",800-766-6789,https://oregonlottery.org/,https://www.facebook.com/ORlottery,,,https://www.youtube.com/user/oregonlottery,instagram: https://www.instagram.com/oregonlottery/,,,,,https://www.nagra.org/State-and-Province-Gaming-Regulatory-Agencies; https://www.oregonlottery.org/; https://www.oregonlottery.org/404-2/; https://www.oregonlottery.org/404-2/; https://www.oregonlottery.org/404-2/; https://www.oregonlottery.org/404-2/; https://www.oregonlottery.org/about/contact-us/; https://www.oregonlottery.org/404-2/; https://www.oregonlottery.org/about/; https://www.oregonlottery.org/404-2/; https://www.oregonlottery.org/404-2/; https://www.oregonlottery.org/404-2/; https://www.oregonlottery.org/404-2/; https://www.oregonlottery.org/404-2/; https://www.oregonlottery.org/404-2/; https://www.oregonlottery.org/404-2/,2026-05-22,Seeded from NAGRA. Enrich with leadership/address/phone from official site.
Oregon,State Racing Commission,Oregon Racing Commission,Horse/Greyhound Racing,,,https://www.oregon.gov/RACING/pages/index.aspx,,,,,,,,,,https://www.nagra.org/State-and-Province-Gaming-Regulatory-Agencies,2026-05-22,Seeded from NAGRA. Enrich with leadership/address/phone from official site.
Oregon,Tribal Gaming Commission,"Confederated Tribes of Coos, Lower Umpqua — Tribal Gaming Commission",Tribal Class II & III,"1245 Fulton Ave, Coos Bay OR 97420",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,Debbie.bossley@ctclusi.org,Debbie.bossley@ctclusi.org,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Oregon,Tribal Gaming Commission,Confederated Tribes of Siletz Indians of — Tribal Gaming Commission,Tribal Class II & III,"PO Box 549 201 SE Swan Ave, Siletz OR 97380",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,dpigsley@msn.com,dpigsley@msn.com,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Oregon,Tribal Gaming Commission,Confederated Tribes of the Grand Ronde — Tribal Gaming Commission,Tribal Class II & III,"9615 Grand Ronde Rd, Grand Ronde OR 97347-",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,Cheryle.kennedy@grandronde.org,Cheryle.kennedy@grandronde.org,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Oregon,Tribal Gaming Commission,Confederated Tribes of the Umatilla Indian — Tribal Gaming Commission,Tribal Class II & III,"46411 Timine Way, Pendleton OR 97801",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,garyburke@ctuir.org,garyburke@ctuir.org,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Oregon,Tribal Gaming Commission,Confederated Tribes of the Warm Springs — Tribal Gaming Commission,Tribal Class II & III,"P.O. Box 1299 1233 Veterns St, Warm Springs OR",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,jonathanwsmith@wstribe.org,jonathanwsmith@wstribe.org,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Oregon,Tribal Gaming Commission,Coquille Indian Tribe — Tribal Gaming Commission,Tribal Class II & III,"3050 Tremont Avenue, North Bend OR 97459",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,brendameade@coquilletribe.org,brendameade@coquilletribe.org,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Oregon,Tribal Gaming Commission,"Klamath Tribes, Oregon — Tribal Gaming Commission",Tribal Class II & III,"PO Box 436 501 Chiloquin Blvd, Chiloquin OR 97624",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,don.gentry@klamathtribes.com,don.gentry@klamathtribes.com,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Pennsylvania,State Charitable Gaming Regulator,Pennsylvania Department of Revenue — Bureau of Small Games of Chance,Charitable small games of chance; raffles; pull-tabs; daily drawings,not publicly available,not publicly available,https://www.pa.gov/agencies/revenue/resources/tax-types-and-information/small-games-of-chance.html,,,,,,,not publicly available,not publicly available,not publicly available,https://www.pa.gov/agencies/revenue/resources/tax-types-and-information/small-games-of-chance.html,2026-05-22,PA Department of Revenue administers the Local Option Small Games of Chance Act (Act 156 of 1988) for charitable small games. Added 2026-05-22.
Pennsylvania,State Gaming Control Board,Pennsylvania Gaming Control Board (PGCB),"Commercial casinos, iGaming, sports betting, fantasy sports, VGTs (truck stop slots), interactive gaming",,,https://gamingcontrolboard.pa.gov/,https://www.facebook.com/profile.php?id=100080366694286,https://twitter.com/pagamingcontrol?lang=en,https://www.linkedin.com/company/pennsylvania-gaming-control-board,,,Executive Director,Kevin F. O'Toole,,,https://gamingcontrolboard.pa.gov/; https://gamingcontrolboard.pa.gov/; https://gamingcontrolboard.pa.gov/about/pgcb-overview; https://gamingcontrolboard.pa.gov/about/leadership/board-members,2026-05-22,GAPFILL: Created 2004 by Pennsylvania Race Horse Development and Gaming Act. Among most active U.S. regulators with monthly hearings. PA was 2nd state to legalize iGaming (2017).
Pennsylvania,State Lottery,Pennsylvania Lottery,Lottery,,717-702-8000,https://www.naspl.org/naspl-lottery-members/pennsylvania-lottery,,http://twitter.com/naspl_hq,https://www.linkedin.com/company/north-american-association-of-state-&-provincial-lotteries,,,Executive Director,John Koenig Art Director,,info@nasplhq.org,https://www.naspl.org/naspl-lottery-members/pennsylvania-lottery; https://www.naspl.org/naspl-lottery-members/pennsylvania-lottery; https://www.naspl.org/naspl-lottery-members/pennsylvania-lottery; https://www.naspl.org/about-naspl,2026-05-22,"Seeded from NASPL. Member page URL — enrich with official lottery .gov/.com site, director, address, phone."
Pennsylvania,State Racing Commission,Pennsylvania State Horse Racing Commission,Thoroughbred and standardbred (harness) racing,,,https://www.agriculture.pa.gov/Animals/AHDS/horseracing/Pages/default.aspx,https://www.facebook.com/padeptofag,https://x.com/PAAgriculture,https://www.linkedin.com/company/padeptofag,https://www.youtube.com/@GovernorShapiro,instagram: https://www.instagram.com/paagriculture/,,,,,https://www.agriculture.pa.gov/Animals/AHDS/horseracing/Pages/default.aspx; https://www.pa.gov/agencies/pda; https://www.pa.gov/agencies/pda; https://www.pa.gov/agencies/pda,2026-05-22,GAPFILL: Within PA Dept of Agriculture (moved from PGCB).
Puerto Rico,State Lottery,Puerto Rico Lottery Bureau,Lottery,,787-250-8150,https://www.naspl.org/naspl-lottery-members/puerto-rico-lottery-bureau,,http://twitter.com/naspl_hq,https://www.linkedin.com/company/north-american-association-of-state-&-provincial-lotteries,,,Executive Director,John Koenig Art Director,,info@nasplhq.org,https://www.naspl.org/naspl-lottery-members/puerto-rico-lottery-bureau; https://www.naspl.org/naspl-lottery-members/puerto-rico-lottery-bureau; https://www.naspl.org/naspl-lottery-members/puerto-rico-lottery-bureau; https://www.naspl.org/about-naspl,2026-05-22,"Seeded from NASPL. Member page URL — enrich with official lottery .gov/.com site, director, address, phone."
Puerto Rico,Territorial Gaming Commission,Comisión de Juego del Gobierno de Puerto Rico (PR Gaming Commission),"Casino, sports betting, iGaming, slot machines (in/outside casinos)",,,https://www.juegodepr.com/,,,,,,,,,,https://www.juegodepr.com/,2026-05-22,GAPFILL: Created 2019 under Law 81-2019 (Ley para Habilitar Juegos por Internet y Apuestas Electrónicas). Replaces Tourism Company's gaming division for most gaming.
Puerto Rico,Territorial Lottery,Lotería Electrónica de Puerto Rico (PR Electronic Lottery),Lottery,,,https://www.loteriaelectronica.pr.gov/,,,,,,,,,,https://www.loteriaelectronica.pr.gov/,2026-05-22,GAPFILL: Within PR Department of Treasury (Hacienda).
Puerto Rico,Territorial Lottery (traditional),Lotería Tradicional de Puerto Rico (PR Traditional Lottery),Traditional draw lottery,,,https://www.loteriadepuertorico.com/,,,,,,,,,,https://www.loteriadepuertorico.com/; https://www.loteriadepuertorico.com/,2026-05-22,GAPFILL: Separate from Electronic Lottery. Within PR Department of Treasury.
Rhode Island,Department of Business Regulation - Gaming Division,Rhode Island Department of Business Regulation — Division of Gaming and Athletics,"Casino, video lottery terminals, sports betting, charitable gaming",,(401) 462-9500,https://dbr.ri.gov/divisions/gaming/,https://www.facebook.com/RIDepartmentofBusinessRegulation,https://twitter.com/RIDBR,https://www.linkedin.com/company/rhode-island-department-of-business-regulation,,,,,,DBR.GamingAthletics@dbr.ri.gov,https://dbr.ri.gov/divisions/gaming/; https://dbr.ri.gov/gaming-and-athletics; https://dbr.ri.gov/insurance/about-us; https://dbr.ri.gov/about-dbr,2026-05-22,GAPFILL: RI gaming is heavily intertwined with state lottery (sports betting and casino games run as 'lottery' under RI Constitution).
Rhode Island,State Lottery,Rhode Island Lottery,Lottery,,401-463-6500,https://www.naspl.org/naspl-lottery-members/rhode-island-lottery,,http://twitter.com/naspl_hq,https://www.linkedin.com/company/north-american-association-of-state-&-provincial-lotteries,,,Executive Director,John Koenig Art Director,,info@nasplhq.org,https://www.naspl.org/naspl-lottery-members/rhode-island-lottery; https://www.naspl.org/naspl-lottery-members/rhode-island-lottery; https://www.naspl.org/naspl-lottery-members/rhode-island-lottery; https://www.naspl.org/about-naspl,2026-05-22,"Seeded from NASPL. Member page URL — enrich with official lottery .gov/.com site, director, address, phone."
South Carolina,State Attorney General (enforcement),South Carolina Attorney General,"Gambling enforcement. SC has lottery only; no casinos, no sports betting.",,1-803-734-3970,https://www.scag.gov/,https://www.facebook.com/AGAlanWilson,https://twitter.com/SCAttyGenOffice,https://www.linkedin.com/company/south-carolina-office-of-the-attorney-general?trk=company_name,https://www.youtube.com/channel/UCBMm4Cu_TtVmYlsje2X_Ecw,,,,,,https://www.scag.gov/; https://www.scag.gov/; https://www.scag.gov/about-the-office/; https://www.scag.gov/about-the-office/our-responsibilities/,2026-05-22,GAPFILL: SC Education Lottery is the only legal commercial gambling. Bingo regulated by SC Department of Revenue.
South Carolina,State Lottery,South Carolina Education Lottery,Lottery,,803-737-2002,https://www.naspl.org/naspl-lottery-members/south-carolina-education-lottery,,http://twitter.com/naspl_hq,https://www.linkedin.com/company/north-american-association-of-state-&-provincial-lotteries,,,Executive Director,John Koenig Art Director,,info@nasplhq.org,https://www.naspl.org/naspl-lottery-members/south-carolina-education-lottery; https://www.naspl.org/naspl-lottery-members/south-carolina-education-lottery; https://www.naspl.org/naspl-lottery-members/south-carolina-education-lottery; https://www.naspl.org/about-naspl,2026-05-22,"Seeded from NASPL. Member page URL — enrich with official lottery .gov/.com site, director, address, phone."
South Carolina,State Tax/Revenue Department,South Carolina Department of Revenue — Bingo Tax Section,Charitable bingo,,803-898-5864,https://dor.sc.gov/,https://www.facebook.com/theSCDOR,https://x.com/theSCDOR,https://www.linkedin.com/company/theSCDOR,https://www.youtube.com/channel/UCTBYoFDeMHjTGv9miVqlx8g/videos,instagram: https://www.instagram.com/thescdor/,,,,ABL@dor.sc.gov,https://dor.sc.gov/; https://dor.sc.gov/; https://dor.sc.gov/alcohol-beverage-licensing-abl/license-directory; https://dor.sc.gov/contact-us,2026-05-22,GAPFILL: SC Bingo Tax Act regulates charitable bingo.
South Dakota,State Gaming Control Board / Commission,South Dakota Commission on Gaming,"Multiple (casino, sports betting, tribal, fantasy)","120 Industrial Drive Suite 1, Spearfish, SD 57783",(605) 773-3311,http://dor.sd.gov/gaming/,https://www.facebook.com/SDRevenue,https://www.twitter.com/SDRevenue,,http://www.youtube.com/user/SouthDakotaDOR,,,,,bustax@state.sd.us,https://www.nagra.org/State-and-Province-Gaming-Regulatory-Agencies; https://dor.sd.gov/contact,2026-05-22,Seeded from NAGRA. Enrich with leadership/address/phone from official site.
South Dakota,State Lottery,South Dakota Lottery,Lottery,,605-773-5770,https://www.naspl.org/naspl-lottery-members/south-dakota-lottery,,http://twitter.com/naspl_hq,https://www.linkedin.com/company/north-american-association-of-state-&-provincial-lotteries,,,Executive Director,P.O. Box,,info@nasplhq.org,https://www.naspl.org/naspl-lottery-members/south-dakota-lottery; https://www.naspl.org/naspl-lottery-members/south-dakota-lottery; https://www.naspl.org/naspl-lottery-members/south-dakota-lottery; https://www.naspl.org/about-naspl,2026-05-22,"Seeded from NASPL. Member page URL — enrich with official lottery .gov/.com site, director, address, phone."
South Dakota,Tribal Gaming Commission,Crow Creek Sioux Tribe of the Crow Creek — Tribal Gaming Commission,Tribal Class III 502.3 &,"P.O. Box 50, Fort Thompson SD 57339",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,peterlengkeek@yahoo.com,peterlengkeek@yahoo.com,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
South Dakota,Tribal Gaming Commission,Flandreau Santee Sioux Tribe — Tribal Gaming Commission,Tribal Class II & III,"P.O. Box 283, Flandreau SD 57028",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,tony.reider@fsst.org,tony.reider@fsst.org,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
South Dakota,Tribal Gaming Commission,Lower Brule Sioux Tribe of the Lower Brule — Tribal Gaming Commission,Tribal Class II & III,"187 Oyate Circle, Lower Brule SD 57548",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,boydgourneau@lowerbrule.net,boydgourneau@lowerbrule.net,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
South Dakota,Tribal Gaming Commission,Rosebud Sioux Tribe of the Rosebud Indian — Tribal Gaming Commission,Tribal Class II & III,"P.O. Box 430, Rosebud SD 57570",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,,,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
South Dakota,Tribal Gaming Commission,"Sisseton-Wahpeton Oyate of the Lake Box 509, Agency Village SD 57262 — Tribal Gaming Commission",Tribal Class II & III,,not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,Chairman@swo-nsn.gov,Chairman@swo-nsn.gov,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
South Dakota,Tribal Gaming Commission,Standing Rock Sioux Tribe of North and South — Tribal Gaming Commission,Tribal Class II & III,"P.O. Box D, Fort Yates ND 58538",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,janet.alkire@standingrock.org,janet.alkire@standingrock.org,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
South Dakota,Tribal Gaming Commission,Yankton Sioux Tribe of South Dakota — Tribal Gaming Commission,Tribal Class II & III,"P.O. Box 1153 800 Main Street SW, Wagner SD",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,robertflyinghawk@gmail.com,robertflyinghawk@gmail.com,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Tennessee,State Charitable Gaming Regulator,"Tennessee Secretary of State — Division of Charitable Solicitations, Fantasy Sports & Gaming",Charitable gaming; raffles; annual events; fantasy sports registration,not publicly available,not publicly available,https://sos.tn.gov/charitable,,,,,,,not publicly available,not publicly available,not publicly available,https://sos.tn.gov/charitable,2026-05-22,"TN Sec of State regulates charitable gaming events under T.C.A. Title 3, Chapter 17 (Tennessee Charitable Gaming Implementation Law). Added 2026-05-22."
